colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
RPR09,Ribeirão Preto,nerv01,0.00207914255000001,80,0.7237059909242222,0.47138383103485687,1847.0,0.27732017174176826,1.0,1.0,0.48763844589812777,1.0,1.0,0.28688293628458783
RPR10,Ribeirão Preto,nerv01,0.006636864240506329,79,2.0635973643153602,0.04238211761239487,1930.0,0.08763062632013592,1.0,0.8052602346355024,0.04986131483811161,1.0,1.0,0.09559704689469374
RPR11,Ribeirão Preto,nerv01,0.013533602387500033,80,4.525269680219095,2.1004322801216093e-05,2456.0,6.141736408002936e-05,0.0025205187361459313,0.0010712204628620207,3.6007410516370445e-05,0.007370083689603523,0.003070868204001468,0.00010380399562821863
RPR12,Ribeirão Preto,nerv01,0.009066702866666658,60,2.4434479643881395,0.017558252151274847,1169.0,0.032366794843899795,1.0,0.4130485289140444,0.02149990059339777,1.0,0.6797026917218957,0.03884015381267975
COY01,Coyhaique,nerv02,-0.02209634495959598,99,-8.79236316501536,5.032049081682363e-14,477.0,8.313000590936036e-12,6.038458898018836e-12,4.277241719430009e-12,1.6773496938941213e-13,9.975600709123243e-10,7.398570525933072e-10,3.1173752216010134e-11
COY02,Coyhaique,nerv02,-0.024299427295918358,98,-10.582206255094952,7.451281126085393e-18,255.0,1.4763950551983962e-14,8.941537351302471e-16,7.302255503563686e-16,3.887624935348901e-17,1.7716740662380754e-12,1.6830903629261717e-12,2.530962951768679e-13
COY03,Coyhaique,nerv02,-0.023210992131313127,99,-9.559367321546775,1.0951023368261782e-15,454.0,1.761988340202758e-12,1.314122804191414e-13,9.746410797752986e-14,4.106633763098169e-15,2.1143860082433096e-10,1.6562690397905925e-10,7.831059289790035e-12
COY04,Coyhaique,nerv02,-0.029204241871794875,78,-11.402219106279532,3.305760153114061e-18,109.0,1.0224049593348586e-12,3.9669121837368734e-16,3.305760153114061e-16,1.8890058017794637e-17,1.2268859512018302e-10,9.815087609614643e-11,4.907543804807321e-12
COY05,Coyhaique,nerv02,-0.02231541880412369,97,-8.808583989213895,5.381494644467917e-14,482.0,9.422750571411458e-12,6.4577935733615e-12,4.52045550135305e-12,1.745349614422027e-13,1.130730068569375e-09,8.292020502842083e-10,3.42645475324053e-11
COY06,Coyhaique,nerv02,-0.021937367109375005,64,-7.439603812095721,3.411625606014309e-10,187.0,1.1903834198202105e-08,4.093950727217171e-08,2.217556643909301e-08,7.31062629860209e-10,1.4284601037842525e-06,7.499415544867326e-07,2.462862247903884e-08
