"colony","origin","trait","mean_diff_RL","n_pairs","t_stat","t_pvalue","wilcox_stat","wilcox_pvalue","t_pvalue_bonf","t_pvalue_holm","t_pvalue_bh","wilcox_pvalue_bonf","wilcox_pvalue_holm","wilcox_pvalue_bh"
"RPR01","Ribeirão Preto","nerv02",-0.0783662162162162,74,-21.667213229871,1.60658820510465e-33,1,8.22253356719718e-14,1.92790584612557e-31,1.86364231792139e-31,3.85581169225115e-32,9.86704028063662e-12,8.79811091690098e-12,7.04788591474044e-13
"RPR02","Ribeirão Preto","nerv02",-0.017042878576923,78,-7.25728536472782,2.69791397575915e-10,382,8.03553476087971e-09,3.23749677091098e-08,1.83458150351622e-08,6.10848447341695e-10,9.64264171305565e-07,5.22309759457181e-07,1.72190030590279e-08
"RPR03","Ribeirão Preto","nerv02",-0.0455943485375,80,-14.9377544461902,1.00909828533234e-24,11,1.21145544625091e-14,1.21091794239881e-22,1.13019007957222e-22,1.34546438044312e-23,1.4537465355011e-12,1.40528831765106e-12,2.5157305600514e-13
"RPR04","Ribeirão Preto","nerv02",-0.0274523528481013,79,-12.5369130305612,2.22250841372021e-20,97,4.32182099155572e-13,2.66701009646425e-18,2.37808400268063e-18,1.90500721176018e-19,5.18618518986687e-11,4.36503920147128e-11,2.59309259493343e-12
"RPR05","Ribeirão Preto","nerv02",-0.0183648988125,80,-7.12890350354874,4.23189304863022e-10,384,5.14257665375163e-09,5.07827165835627e-08,2.70841155112334e-08,8.90924852343205e-10,6.17109198450196e-07,3.44552635801359e-07,1.14279481194481e-08
"RPR06","Ribeirão Preto","nerv02",-0.0204929102875,80,-7.99821552071453,8.78847236976387e-12,367,1.88580475447872e-09,1.05461668437166e-09,6.5913542773229e-10,2.29264496602536e-11,2.26296570537446e-07,1.35777942322467e-07,4.59073294826285e-09
"RPR07","Ribeirão Preto","nerv02",-0.025076853025,80,-9.43773968063124,1.36240960257815e-14,238,3.44739974665124e-11,1.63489152309378e-12,1.18529635424299e-12,4.8085044796876e-14,4.13687969598149e-09,2.86134178972053e-09,1.08865255157408e-10
"RPR08","Ribeirão Preto","nerv02",-0.1077009207875,80,-39.0371196209593,2.11325096903624e-53,0,7.99953248140933e-15,2.53590116284349e-51,2.53590116284349e-51,2.53590116284349e-51,9.5994389776912e-13,9.5194436528771e-13,2.3998597444228e-13
"RPR09","Ribeirão Preto","nerv02",-0.0194471025,80,-8.20357429672009,3.49593019810942e-12,273,1.0595516189934e-10,4.1951162377313e-10,2.72682555452535e-10,9.75608427379373e-12,1.27146194279208e-08,8.47641295194722e-09,3.10112668973679e-10
"RPR10","Ribeirão Preto","nerv02",-0.0301098076075949,79,-11.3929864045365,2.86406844693131e-18,100,4.81504706098664e-13,3.43688213631757e-16,2.89270913140062e-16,1.71844106815878e-17,5.77805647318396e-11,4.81504706098664e-11,2.75145546342094e-12
